codigo,secao_id,secao,grupo_id,grupo_descricao,classe_id,classe_observacoes,anexo_base,anexo_just,fator_r,aliquota_inicial,contabilizei_atende,contabilizei_just,mei_iss_fixo_das,mei_icms_fixo_das,risco_baixo_cgsim,risco_cgsim_desc_oficial,vedado_simples_cgsn_anexo_vi,ambiguo_simples_cgsn_anexo_vii,anexo_fator_r_confianca,iss_bh_aliquota,iss_bh_varia,iss_bh_detalhe,conselho_fonte,conselho_confianca,exige_registro_setorial,registro_setorial_qual,registro_setorial_fonte,motivo_nao_atende_fala,familia_rotulo
4511102,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45111,"Esta classe compreende - o comércio varejista e atacadista de veículos novos e usados: | #- automóveis, utilitários, camionetas e similares | #- ônibus, microônibus e caminhões || Esta classe compreende ainda - o comércio atacadista de veículos especiais novos e usados, tais como: reboques e semi-reboques, ambulâncias, caminhões gruas e caminhões betoneiras, veículos dormitórios e similares || Esta classe NÃO compreende - o comércio atacadista e varejista de motocicletas (45.41-2) | - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados (45.12-9) | - o comércio atacadista e varejista de bicicletas (46.49-4) e (47.63-6) | - o comércio atacadista e varejista de peças e acessórios novos e usados para veículos automotores (45.30-7) | - o comércio atacadista de tratores agrícolas (46.61-3) | - o comércio atacadista de tratores, exceto agrícolas (46.62-1) | - os leiloeiros independentes de veículos automotores (82.99-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4511103,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45111,"Esta classe compreende - o comércio varejista e atacadista de veículos novos e usados: | #- automóveis, utilitários, camionetas e similares | #- ônibus, microônibus e caminhões || Esta classe compreende ainda - o comércio atacadista de veículos especiais novos e usados, tais como: reboques e semi-reboques, ambulâncias, caminhões gruas e caminhões betoneiras, veículos dormitórios e similares || Esta classe NÃO compreende - o comércio atacadista e varejista de motocicletas (45.41-2) | - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados (45.12-9) | - o comércio atacadista e varejista de bicicletas (46.49-4) e (47.63-6) | - o comércio atacadista e varejista de peças e acessórios novos e usados para veículos automotores (45.30-7) | - o comércio atacadista de tratores agrícolas (46.61-3) | - o comércio atacadista de tratores, exceto agrícolas (46.62-1) | - os leiloeiros independentes de veículos automotores (82.99-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4511104,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45111,"Esta classe compreende - o comércio varejista e atacadista de veículos novos e usados: | #- automóveis, utilitários, camionetas e similares | #- ônibus, microônibus e caminhões || Esta classe compreende ainda - o comércio atacadista de veículos especiais novos e usados, tais como: reboques e semi-reboques, ambulâncias, caminhões gruas e caminhões betoneiras, veículos dormitórios e similares || Esta classe NÃO compreende - o comércio atacadista e varejista de motocicletas (45.41-2) | - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados (45.12-9) | - o comércio atacadista e varejista de bicicletas (46.49-4) e (47.63-6) | - o comércio atacadista e varejista de peças e acessórios novos e usados para veículos automotores (45.30-7) | - o comércio atacadista de tratores agrícolas (46.61-3) | - o comércio atacadista de tratores, exceto agrícolas (46.62-1) | - os leiloeiros independentes de veículos automotores (82.99-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4511105,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45111,"Esta classe compreende - o comércio varejista e atacadista de veículos novos e usados: | #- automóveis, utilitários, camionetas e similares | #- ônibus, microônibus e caminhões || Esta classe compreende ainda - o comércio atacadista de veículos especiais novos e usados, tais como: reboques e semi-reboques, ambulâncias, caminhões gruas e caminhões betoneiras, veículos dormitórios e similares || Esta classe NÃO compreende - o comércio atacadista e varejista de motocicletas (45.41-2) | - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados (45.12-9) | - o comércio atacadista e varejista de bicicletas (46.49-4) e (47.63-6) | - o comércio atacadista e varejista de peças e acessórios novos e usados para veículos automotores (45.30-7) | - o comércio atacadista de tratores agrícolas (46.61-3) | - o comércio atacadista de tratores, exceto agrícolas (46.62-1) | - os leiloeiros independentes de veículos automotores (82.99-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
5611204,I,ALOJAMENTO E ALIMENTAÇÃO,561,RESTAURANTES E OUTROS SERVIÇOS DE ALIMENTAÇÃO E BEBIDAS,56112,"Esta classe compreende - as atividades de vender e servir comida preparada, com ou sem bebidas alcoólicas, ao público em geral, com serviço completo | - as atividades de servir bebidas alcoólicas, com ou sem serviço de alimentação, com ou sem entretenimento, ao público em geral, com serviço completo, tais como choperias, whiskerias e outros estabelecimentos especializados em servir bebidas || Esta classe compreende ainda - o serviço de alimentação para consumo no local, com venda ou não de bebidas, em estabelecimentos que não oferecem serviço completo, tais como: lanchonetes, fast-food, pastelarias, casas de sucos, botequins e similares | - os restaurantes self-service ou de comida a quilo | - as atividades de restaurantes e bares em embarcações exploradas por terceiros | - as sorveterias, com consumo no local, de fabricação própria ou não || Esta classe NÃO compreende - Os trailers, carrocinhas e outros tipos de ambulantes de alimentação preparada para consumo imediato (56.12-1) | - a fabricação de sorvetes (10.53-8)",I,"comercio (fornecimento de alimentacao -- Decreto 7.212/2010 RIPI art.5o I 'a', nao e industrializacao, tratado como revenda de mercadoria -- Simples Nacional Anexo I)",,,atende,presumido (serviço/comércio leve no Simples; validar),N,S,nao,,nao,nao,,,,,,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4511106,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45111,"Esta classe compreende - o comércio varejista e atacadista de veículos novos e usados: | #- automóveis, utilitários, camionetas e similares | #- ônibus, microônibus e caminhões || Esta classe compreende ainda - o comércio atacadista de veículos especiais novos e usados, tais como: reboques e semi-reboques, ambulâncias, caminhões gruas e caminhões betoneiras, veículos dormitórios e similares || Esta classe NÃO compreende - o comércio atacadista e varejista de motocicletas (45.41-2) | - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados (45.12-9) | - o comércio atacadista e varejista de bicicletas (46.49-4) e (47.63-6) | - o comércio atacadista e varejista de peças e acessórios novos e usados para veículos automotores (45.30-7) | - o comércio atacadista de tratores agrícolas (46.61-3) | - o comércio atacadista de tratores, exceto agrícolas (46.62-1) | - os leiloeiros independentes de veículos automotores (82.99-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,,,,,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4512901,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45129,"Esta classe compreende - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados | - o comércio sob consignação de veículos automotores",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,sim,Representantes comerciais e agentes do comércio de veículos automotores,nao,nao,,2,nao,"Agenciamento de bens móveis não abrangidos em outros itens / subitens (CTISS 1005-0/01-88, LC116 10.05, 2%) || Representação de qualquer natureza, inclusive comercial. (CTISS 1009-0/01-88, LC116 10.09, 2%)",,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4512902,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,COMÉRCIO DE VEÍCULOS AUTOMOTORES,45129,"Esta classe compreende - as atividades de representantes comerciais e agentes do comércio varejista e atacadista de veículos automotores, novos e usados | - o comércio sob consignação de veículos automotores",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),,,nao,,nao,nao,,2,nao,"Distribuição de bens de terceiros (CTISS 1010-0/01-88, LC116 10.10, 2%)",,,nao-verificado,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4520001,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,452,MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES,45200,"Esta classe compreende - a manutenção e reparação de veículos automotores: | #- reparações mecânicas e elétricas | #- reparações em sistemas de injeção eletrônica | #- lanternagem ou funilaria e pintura | #- lavagem, lubrificação e polimento | #- serviços de borracheiros ou gomarias | #- vidros para veículos | #- serviços de capoteiros | #- serviços de alinhamento e balanceamento de veículos automotores | #- instalação ou substituição de peças e de acessórios, não associados a venda ou a fabricação | #- manutenção e reparação de ar-condicionado para veículos automotores | #- colocação de películas de insulfilm em veículos automotores || Esta classe compreende ainda - os serviços de conversão de motores de veículos automotores | - a adaptação de veículos, em oficinas mecânicas, para necessidades especiais de deficientes físicos e similares || Esta classe NÃO compreende - a manutenção e reparação de motocicletas e motonetas (45.43-9) e de bicicletas (95.29-1) | - a recauchutagem de pneumáticos (22.12-9) | - o recondicionamento ou retífica de motores (29.50-6) | - a blindagem de veículos automotores (29.30-1) | - os serviços de guincho (reboque de veículos automotores) e assistência no local (52.29-0) | - a instalação ou substituição de peças e acessórios para veículos, associado à venda (45.30-7) | - a manutenção de tratores agrícolas e não agrícolas (33.14-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),S,N,sim,Serviços de manutenção e reparação mecânica de veículos automotores,nao,nao,,5,nao,"Lubrificação, limpeza, lustração, revisão, conserto, restauração, blindagem, alinhamento, balanceamento, manutenção e conservação de embarcações, aeronaves e veículos  em geral (exceto peças e partes empregadas, que ficam sujeitas ao ICMS). (CTISS 1401-0/02-88, LC116 14.01, 5%) || Assistência técnica (CTISS 1402-0/01-88, LC116 14.02, 5%) || Funilaria e lanternagem. (CTISS 1412-0/01-88, LC116 14.12, 5%)",,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
4520002,G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,452,MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES,45200,"Esta classe compreende - a manutenção e reparação de veículos automotores: | #- reparações mecânicas e elétricas | #- reparações em sistemas de injeção eletrônica | #- lanternagem ou funilaria e pintura | #- lavagem, lubrificação e polimento | #- serviços de borracheiros ou gomarias | #- vidros para veículos | #- serviços de capoteiros | #- serviços de alinhamento e balanceamento de veículos automotores | #- instalação ou substituição de peças e de acessórios, não associados a venda ou a fabricação | #- manutenção e reparação de ar-condicionado para veículos automotores | #- colocação de películas de insulfilm em veículos automotores || Esta classe compreende ainda - os serviços de conversão de motores de veículos automotores | - a adaptação de veículos, em oficinas mecânicas, para necessidades especiais de deficientes físicos e similares || Esta classe NÃO compreende - a manutenção e reparação de motocicletas e motonetas (45.43-9) e de bicicletas (95.29-1) | - a recauchutagem de pneumáticos (22.12-9) | - o recondicionamento ou retífica de motores (29.50-6) | - a blindagem de veículos automotores (29.30-1) | - os serviços de guincho (reboque de veículos automotores) e assistência no local (52.29-0) | - a instalação ou substituição de peças e acessórios para veículos, associado à venda (45.30-7) | - a manutenção de tratores agrícolas e não agrícolas (33.14-7)",I,comércio (regra por seção),,,atende,presumido (serviço/comércio leve no Simples; validar),S,N,sim,Serviços de lanternagem ou funilaria e pintura de veículos automotores,nao,nao,,5,nao,"Lubrificação, limpeza, lustração, revisão, conserto, restauração, blindagem, alinhamento, balanceamento, manutenção e conservação de embarcações, aeronaves e veículos  em geral (exceto peças e partes empregadas, que ficam sujeitas ao ICMS). (CTISS 1401-0/02-88, LC116 14.01, 5%) || Assistência técnica (CTISS 1402-0/01-88, LC116 14.02, 5%) || Funilaria e lanternagem. (CTISS 1412-0/01-88, LC116 14.12, 5%)",,,nao,,,"Essa atividade é de comércio ou indústria, e a gente cuida só de prestação de serviço.",nao-se-aplica
