cnae,descricao,secao,divisao,anexo,fator_r,pode_mei
"7490-1/03","SERVIÇOS DE AGRONOMIA E DE CONSULTORIA ÀS ATIVIDADES AGRÍCOLAS E PECUÁRIAS","M","74","III/V","sim","nao"
"7490-1/04","ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS EM GERAL, EXCETO IMOBILIÁRIOS","M","74","III/V","sim","nao"
"7490-1/05","AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTÍSTICAS","M","74","III/V","sim","nao"
"7490-1/99","OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS NÃO ESPECIFICADAS ANTERIORMENTE","M","74","III/V","sim","nao"
"7721-7/00","ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS","N","77","III","nao","sim"
"7722-5/00","ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES","N","77","III","nao","sim"
"7723-3/00","ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS","N","77","III","nao","sim"
"7729-2/01","ALUGUEL DE APARELHOS DE JOGOS ELETRÔNICOS","N","77","III","nao","sim"
"7729-2/02","ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS","N","77","III","nao","sim"
"7729-2/03","ALUGUEL DE MATERIAL MÉDICO","N","77","III","nao","sim"
"7729-2/99","ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE","N","77","III","nao","sim"
"7733-1/00","ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIOS","N","77","III","nao","sim"
"8211-3/00","SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO","N","82","III","nao","nao"
"8219-9/01","FOTOCÓPIAS","N","82","III","nao","sim"
"8219-9/99","PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE","N","82","III","nao","sim"
"8220-2/00","ATIVIDADES DE TELEATENDIMENTO","N","82","III","nao","nao"
"8230-0/01","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS","N","82","III","nao","sim"
"8291-1/00","ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS","N","82","III","nao","sim"
"8299-7/03","SERVIÇOS DE GRAVAÇÃO DE CARIMBOS, EXCETO CONFECÇÃO","N","82","III","nao","sim"
"8299-7/07","SALAS DE ACESSO À INTERNET","N","82","III","nao","sim"
"8591-1/00","ENSINO DE ESPORTES","P","85","III","sim","nao"
"8592-9/01","ENSINO DE DANÇA","P","85","III/V","sim","nao"
"8592-9/02","ENSINO DE ARTES CÊNICAS, EXCETO DANÇA","P","85","III","nao","sim"
"8592-9/03","ENSINO DE MÚSICA","P","85","III","nao","sim"
"8592-9/99","ENSINO DE ARTE E CULTURA NÃO ESPECIFICADO ANTERIORMENTE","P","85","III","nao","sim"
"8593-7/00","ENSINO DE IDIOMAS","P","85","III","nao","sim"
"8599-6/03","TREINAMENTO EM INFORMÁTICA","P","85","III","nao","sim"
"8599-6/04","TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL","P","85","III","nao","sim"
"8599-6/05","CURSOS PREPARATÓRIOS PARA CONCURSOS","P","85","III","nao","sim"
"9001-9/01","PRODUÇÃO TEATRAL","R","90","III","nao","sim"
"9001-9/02","PRODUÇÃO MUSICAL","R","90","III","nao","sim"
"9001-9/03","PRODUÇÃO DE ESPETÁCULOS DE DANÇA","R","90","III","nao","nao"
"9001-9/04","PRODUÇÃO DE ESPETÁCULOS CIRCENSES, DE MARIONETES E SIMILARES","R","90","III","nao","nao"
"9002-7/01","ATIVIDADES DE ARTISTAS PLÁSTICOS, JORNALISTAS INDEPENDENTES E ESCRITORES","R","90","III/V","sim","nao"
"9002-7/02","RESTAURAÇÃO DE OBRAS DE ARTE","R","90","III","nao","sim"
"9102-3/02","RESTAURAÇÃO E CONSERVAÇÃO DE LUGARES E PRÉDIOS HISTÓRICOS","R","91","III","nao","nao"
"9319-1/01","PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS","R","93","III","nao","nao"
"9329-8/03","EXPLORAÇÃO DE JOGOS DE SINUCA, BILHAR E SIMILARES","R","93","III","nao","sim"
"9329-8/04","EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS","R","93","III","nao","sim"
"9511-8/00","REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS","S","95","III","nao","sim"
"9512-6/00","REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO","S","95","III","nao","sim"
"9521-5/00","REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO","S","95","III","nao","sim"
"9529-1/01","REPARAÇÃO DE CALÇADOS, DE BOLSAS E ARTIGOS DE VIAGEM","S","95","III","nao","sim"
"9529-1/02","CHAVEIROS","S","95","III","nao","sim"
"9529-1/03","REPARAÇÃO DE RELÓGIOS","S","95","III","nao","sim"
"9529-1/05","REPARAÇÃO DE ARTIGOS DO MOBILIÁRIO","S","95","III","nao","sim"
"9529-1/06","REPARAÇÃO DE JÓIAS","S","95","III","nao","sim"
"9529-1/99","REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE","S","95","III","nao","sim"
"9602-5/01","CABELEIREIROS, MANICURE E PEDICURE","S","96","III","nao","sim"
"9609-2/02","AGÊNCIAS MATRIMONIAIS","S","96","III","nao","sim"
