linha,cnae_raw,cnae,descricao,anexo,fator_r,aliquota,atende,categoria_slug,flags,url
"354","4520004","4520004","Serviços de alinhamento e balanceamento de veículos automotores","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4520004-servicos-de-alinhamento-e-balanceamento-de-veiculos-automotores/"
"355","4520005","4520005","Serviços de lavagem, lubrificação e polimento de veículos automotores","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4520005-servicos-de-lavagem-lubrificacao-e-polimento-de-veiculos-automotores/"
"356","4520006","4520006","Serviços de borracharia para veículos automotores","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4520006-servicos-de-borracharia-para-veiculos-automotores/"
"357","4520007","4520007","Serviços de instalação, manutenção e reparação de acessórios para veículos automotores","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4520007-servicos-de-instalacao-manutencao-e-reparacao-de-acessorios-para-veiculos-automotores/"
"358","4520008","4520008","Serviços de capotaria","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4520008-servicos-de-capotaria/"
"359","4530701","4530701","Comércio por atacado de peças e acessórios novos para veículos automotores","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530701-comercio-por-atacado-de-pecas-e-acessorios-novos-para-veiculos-automotores/"
"360","4541203","4541203","Comércio a varejo de motocicletas e motonetas novas","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541203-comercio-a-varejo-de-motocicletas-e-motonetas-novas/"
"361","4541204","4541204","Comércio a varejo de motocicletas e motonetas usadas","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541204-comercio-a-varejo-de-motocicletas-e-motonetas-usadas/"
"362","4543900","4543900","Manutenção e reparação de motocicletas e motonetas","III","Não","6","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4543900-manutencao-e-reparacao-de-motocicletas-e-motonetas/"
"363","4722902","4722902","Peixaria","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4722902-peixaria/"
"364","4729602","4729602","Comércio varejista de mercadorias em lojas de conveniência","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4729602-comercio-varejista-de-mercadorias-em-lojas-de-conveniencia/"
"365","4741500","4741500","Comércio varejista de tintas e materiais para pintura","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4741500-comercio-varejista-de-tintas-e-materiais-para-pintura/"
"366","4742300","4742300","Comércio varejista de material elétrico","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4742300-comercio-varejista-de-material-eletrico/"
"367","4744001","4744001","Comércio varejista de ferragens e ferramentas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744001-comercio-varejista-de-ferragens-e-ferramentas/"
"368","4744003","4744003","Comércio varejista de materiais hidráulicos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744003-comercio-varejista-de-materiais-hidraulicos/"
"369","4744004","4744004","Comércio varejista de cal, areia, pedra britada, tijolos e telhas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744004-comercio-varejista-de-cal-areia-pedra-britada-tijolos-e-telhas/"
"370","4744005","4744005","Comércio varejista de materiais de construção não especificados anteriormente","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744005-comercio-varejista-de-materiais-de-construcao-nao-especificados-anteriormente/"
"371","4744006","4744006","Comércio varejista de pedras para revestimento","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744006-comercio-varejista-de-pedras-para-revestimento/"
"372","4744099","4744099","Comércio varejista de materiais de construção em geral","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744099-comercio-varejista-de-materiais-de-construcao-em-geral/"
"373","4763605","4763605","Comércio varejista de embarcações e outros veículos recreativos peças e acessórios","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4763605-comercio-varejista-de-embarcacoes-e-outros-veiculos-recreativos-pecas-e-acessorios/"
"374","4771704","4771704","Comércio varejista de medicamentos veterinários","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4771704-comercio-varejista-de-medicamentos-veterinarios/"
"375","4773300","4773300","Comércio varejista de artigos médicos e ortopédicos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4773300-comercio-varejista-de-artigos-medicos-e-ortopedicos/"
"376","4789005","4789005","Comércio varejista de produtos saneantes domissanitários","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789005-comercio-varejista-de-produtos-saneantes-domissanitarios/"
"377","4789006","4789006","Comércio varejista de fogos de artifício e artigos pirotécnicos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789006-comercio-varejista-de-fogos-de-artificio-e-artigos-pirotecnicos/"
"378","4789009","4789009","Comércio varejista de armas e munições","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789009-comercio-varejista-de-armas-e-municoes/"
"379","5211702","5211702","Guarda-móveis","III","Não","6","Atende","armazenamento-e-atividades-auxiliares-dos-transportes","","/consulta-cnae/armazenamento-e-atividades-auxiliares-dos-transportes/5211702-guarda-moveis/"
"380","5320201","5320201","Serviços de malote não realizados pelo correio nacional","III","Não","6","Atende","correio-e-outras-atividades-de-entrega","","/consulta-cnae/correio-e-outras-atividades-de-entrega/5320201-servicos-de-malote-nao-realizados-pelo-correio-nacional/"
"381","5320202","5320202","Serviços de entrega rápida","III","Não","6","Atende","correio-e-outras-atividades-de-entrega","","/consulta-cnae/correio-e-outras-atividades-de-entrega/5320202-servicos-de-entrega-rapida/"
"382","5510801","5510801","Hotéis","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5510801-hoteis/"
"383","5510802","5510802","Apart-hotéis","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5510802-apart-hoteis/"
"384","5510803","5510803","Motéis","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5510803-moteis/"
"385","5590601","5590601","Albergues, exceto assistenciais","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5590601-albergues-exceto-assistenciais/"
"386","5590602","5590602","Campings","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5590602-campings/"
"387","5590603","5590603","Pensões (alojamento)","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5590603-pensoes-alojamento/"
"388","5590699","5590699","Outros alojamentos não especificados anteriormente","III","Não","6","Atende","alojamento","","/consulta-cnae/alojamento/5590699-outros-alojamentos-nao-especificados-anteriormente/"
"389","5620102","5620102","Serviços de alimentação para eventos e recepções – bufê","III","Não","6","Atende","alimentacao","par_anomalo","/consulta-cnae/alimentacao/5620102-servicos-de-alimentacao-para-eventos-e-recepcoes-bufe/"
"390","5620102","5620102","Serviços de alimentação para eventos e recepções – bufê","I","Não","4","Atende","alimentacao","par_anomalo","/consulta-cnae/alimentacao/5620102-servicos-de-alimentacao-para-eventos-e-recepcoes-bufe/"
"391","5811500","5811500","Edição de livros","III","Não","6","Atende","edicao-e-edicao-integrada-a-impressao","","/consulta-cnae/edicao-e-edicao-integrada-a-impressao/5811500-edicao-de-livros/"
"392","5812301","5812301","Edição de jornais diários","III","Não","6","Atende","edicao-e-edicao-integrada-a-impressao","","/consulta-cnae/edicao-e-edicao-integrada-a-impressao/5812301-edicao-de-jornais-diarios/"
"393","5812302","5812302","Edição de jornais não diários","III","Não","6","Atende","edicao-e-edicao-integrada-a-impressao","","/consulta-cnae/edicao-e-edicao-integrada-a-impressao/5812302-edicao-de-jornais-nao-diarios/"
"394","5813100","5813100","Edição de revistas","III","Não","6","Atende","edicao-e-edicao-integrada-a-impressao","","/consulta-cnae/edicao-e-edicao-integrada-a-impressao/5813100-edicao-de-revistas/"
"395","5819100","5819100","Edição de cadastros, listas e outros produtos gráficos","III","Não","6","Atende","edicao-e-edicao-integrada-a-impressao","","/consulta-cnae/edicao-e-edicao-integrada-a-impressao/5819100-edicao-de-cadastros-listas-e-outros-produtos-graficos/"
"396","6822600","6822600","Gestão e administração da propriedade imobiliária","V","Sim","15.5","Atende","atividades-imobiliarias","par_fator_r","/consulta-cnae/atividades-imobiliarias/6822600-gestao-e-administracao-da-propriedade-imobiliaria/"
"397","6822600","6822600","Gestão e administração da propriedade imobiliária","III","Sim","6","Atende","atividades-imobiliarias","par_fator_r","/consulta-cnae/atividades-imobiliarias/6822600-gestao-e-administracao-da-propriedade-imobiliaria/"
"398","7711000","7711000","Locação de automóveis sem condutor","III","Não","6","Atende","alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros","","/consulta-cnae/alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros/7711000-locacao-de-automoveis-sem-condutor/"
"399","8020001","8020001","Atividades de monitoramento de sistemas de segurança eletrônico","IV","Não","4.5","Atende","atividades-de-vigilancia-seguranca-e-investigacao","","/consulta-cnae/atividades-de-vigilancia-seguranca-e-investigacao/8020001-atividades-de-monitoramento-de-sistemas-de-seguranca-eletronico/"
"400","8219901","8219901","Fotocópias","III","Não","6","Atende","servicos-de-escritorio-de-apoio-administrativo-e-outros-servicos-prestados-principalmente-as-empresas","","/consulta-cnae/servicos-de-escritorio-de-apoio-administrativo-e-outros-servicos-prestados-principalmente-as-empresas/8219901-fotocopias/"
"401","8599601","8599601","Formação de condutores","III","Não","6","Atende","educacao","","/consulta-cnae/educacao/8599601-formacao-de-condutores/"
"402","8599602","8599602","Cursos de pilotagem","III","Não","6","Atende","educacao","","/consulta-cnae/educacao/8599602-cursos-de-pilotagem/"
"403","8610102","8610102","Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências","III","Sim","6","Atende","atividades-de-atencao-a-saude-humana","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana/8610102-atividades-de-atendimento-em-pronto-socorro-e-unidades-hospitalares-para-atendimento-a-urgencias/"
"404","8621601","8621601","Uti móvel","III","Sim","6","Atende","atividades-de-atencao-a-saude-humana","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana/8621601-uti-movel/"
"405","8621602","8621602","Serviços móveis de atendimento a urgências, exceto por uti móvel","III","Sim","6","Atende","atividades-de-atencao-a-saude-humana","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana/8621602-servicos-moveis-de-atendimento-a-urgencias-exceto-por-uti-movel/"
"406","8622400","8622400","Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências","V","Sim","15.5","Atende","atividades-de-atencao-a-saude-humana","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana/8622400-servicos-de-remocao-de-pacientes-exceto-os-servicos-moveis-de-atendimento-a-urgencias/"
"407","8690902","8690902","Atividades de banco de leite humano","III","Sim","6","Atende","atividades-de-atencao-a-saude-humana","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana/8690902-atividades-de-banco-de-leite-humano/"
"408","8711501","8711501","Clínicas e residências geriátricas","V","Sim","15.5","Atende","atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares","fator_r_sim_sem_par","/consulta-cnae/atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares/8711501-clinicas-e-residencias-geriatricas/"
"409","8711502","8711502","Instituições de longa permanência para idosos","III","Não","6","Atende","atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares","","/consulta-cnae/atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares/8711502-instituicoes-de-longa-permanencia-para-idosos/"
"410","8712300","8712300","Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio","III","Não","6","Atende","atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares","","/consulta-cnae/atividades-de-atencao-a-saude-humana-integradas-com-assistencia-social-prestadas-em-residencias-coletivas-e-particulares/8712300-atividades-de-fornecimento-de-infra-estrutura-de-apoio-e-assistencia-a-paciente-no-domicilio/"
"411","9003500","9003500","Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas","III","Não","6","Atende","atividades-artisticas-criativas-e-de-espetaculos","","/consulta-cnae/atividades-artisticas-criativas-e-de-espetaculos/9003500-gestao-de-espacos-para-artes-cenicas-espetaculos-e-outras-atividades-artisticas/"
"412","9101500","9101500","Atividades de bibliotecas e arquivos","III","Não","6","Atende","atividades-ligadas-ao-patrimonio-cultural-e-ambiental","","/consulta-cnae/atividades-ligadas-ao-patrimonio-cultural-e-ambiental/9101500-atividades-de-bibliotecas-e-arquivos/"
"413","9102301","9102301","Atividades de museus e de exploração de lugares e prédios históricos e atrações similares","III","Não","6","Atende","atividades-ligadas-ao-patrimonio-cultural-e-ambiental","","/consulta-cnae/atividades-ligadas-ao-patrimonio-cultural-e-ambiental/9102301-atividades-de-museus-e-de-exploracao-de-lugares-e-predios-historicos-e-atracoes-similares/"
"414","9102302","9102302","Restauração e conservação de lugares e prédios históricos","III","Não","6","Atende","atividades-ligadas-ao-patrimonio-cultural-e-ambiental","","/consulta-cnae/atividades-ligadas-ao-patrimonio-cultural-e-ambiental/9102302-restauracao-e-conservacao-de-lugares-e-predios-historicos/"
"415","6612605","6612605","Agentes de investimentos em aplicações financeiras","III","Não","6","Atende","atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude","","/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6612605-agentes-de-investimentos-em-aplicacoes-financeiras/"
"416","6911702","6911702","Atividades auxiliares da justiça","III","Não","6","Atende","atividades-juridicas-de-contabilidade-e-de-auditoria","","/consulta-cnae/atividades-juridicas-de-contabilidade-e-de-auditoria/6911702-atividades-auxiliares-da-justica/"
"417","4120400","4120400","Construção de edifícios","IV","Não","4.5","Não atende","construcao-de-edificios","","/consulta-cnae/construcao-de-edificios/4120400-construcao-de-edificios/"
